channel_key,column_name,en_name,cn_name,unit,version,channel_type,channel_category,app,sub_app,fact_sheet_name,sampling_rate,data_type,original_name,channel_dimension
1,ble_mbe_del1,BLE_Mbe_DEL1,叶片1 Edge方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL1,1
2,ble_mbe_acc_del1,BLE_Mbe_Acc_DEL1,叶片1 Edge方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_Acc_DEL1,1
3,ble_mbe_del_rate1,BLE_Mbe_DEL_Rate1,叶片1 Edge方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL_Rate1,1
4,ble_mbe_del2,BLE_Mbe_DEL2,叶片2 Edge方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL2,1
5,ble_mbe_acc_del2,BLE_Mbe_Acc_DEL2,叶片2 Edge方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_Acc_DEL2,1
6,ble_mbe_del_rate2,BLE_Mbe_DEL_Rate2,叶片2 Edge方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL_Rate2,1
7,ble_mbe_del3,BLE_Mbe_DEL3,叶片3 Edge方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL3,1
8,ble_mbe_acc_del3,BLE_Mbe_Acc_DEL3,叶片3 Edge方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_Acc_DEL3,1
9,ble_mbe_del_rate3,BLE_Mbe_DEL_Rate3,叶片3 Edge方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbe_DEL_Rate3,1
10,ble_mbf_del1,BLE_Mbf_DEL1,叶片1 Flap方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL1,1
11,ble_mbf_acc_del1,BLE_Mbf_Acc_DEL1,叶片1 Flap方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_Acc_DEL1,1
12,ble_mbf_del_rate1,BLE_Mbf_DEL_Rate1,叶片1 Flap方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL_Rate1,1
13,ble_mbf_del2,BLE_Mbf_DEL2,叶片2 Flap方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL2,1
14,ble_mbf_acc_del2,BLE_Mbf_Acc_DEL2,叶片2 Flap方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_Acc_DEL2,1
15,ble_mbf_del_rate2,BLE_Mbf_DEL_Rate2,叶片2 Flap方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL_Rate2,1
16,ble_mbf_del3,BLE_Mbf_DEL3,叶片3 Flap方向疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL3,1
17,ble_mbf_acc_del3,BLE_Mbf_Acc_DEL3,叶片3 Flap方向弯矩的累积等效疲劳载荷,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_Acc_DEL3,1
18,ble_mbf_del_rate3,BLE_Mbf_DEL_Rate3,叶片3 Flap方向弯矩的累积等效疲劳载荷变化速率,kN-m,2003,10min,Blade,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,BLE_Mbf_DEL_Rate3,1
19,gbx_frictionenergy_hsisrs_10min,GBX_FrictionEnergy_HSISRS_10min,齿轮箱IMSRS侧轴承摩擦功（方法1）,J,2003,10min,GearBox,DigitalTwin,DigitalTwinPreProc,fact_digitaltwindata_load,0.001666667,double,GBX_FrictionEnergy_HSISRS_10min,1
